cycle_index,city,timestamp,lat,lon,temp,feels_like,humidity,pressure,wind_speed,wind_deg,clouds,weather_main,weather_description,aqi,pm2_5,pm10,no2,o3,so2,co,hour,day_of_week,day_of_month,month,city_encoded
0,Agadir,2026-04-25 23:31:05.569939,30.4278,-9.5981,17.06,17.07,86.0,1010.0,5.81,133.0,53.0,Clouds,broken clouds,3.0,5.44,17.76,0.3,103.89,0.98,115.77,23.0,5.0,25.0,4.0,0
0,Casablanca,2026-04-25 23:30:49.327951,33.5731,-7.5898,17.89,18.03,88.0,1014.0,2.06,40.0,10.0,Clear,clear sky,3.0,8.76,15.59,1.87,102.31,3.43,116.73,23.0,5.0,25.0,4.0,1
0,Fes,2026-04-25 23:30:59.033251,34.0181,-5.0078,14.95,14.96,94.0,1013.0,1.54,120.0,0.0,Clear,clear sky,2.0,2.7,4.81,1.41,60.17,0.24,98.77,23.0,5.0,25.0,4.0,2
0,Marrakech,2026-04-25 23:30:55.811733,31.6295,-7.9811,19.98,19.81,68.0,1012.0,4.63,40.0,75.0,Clouds,broken clouds,2.0,5.77,14.95,1.8,79.55,0.59,106.71,23.0,5.0,25.0,4.0,3
0,Rabat,2026-04-25 23:30:52.557303,34.0209,-6.8416,17.37,17.77,100.0,1013.0,2.06,340.0,40.0,Clouds,scattered clouds,3.0,9.59,15.19,2.35,100.55,3.27,119.22,23.0,5.0,25.0,4.0,4
0,Tanger,2026-04-25 23:31:02.241601,35.7595,-5.834,17.74,17.58,77.0,1015.0,9.26,70.0,20.0,Clouds,few clouds,2.0,3.97,8.4,1.73,93.86,1.23,124.46,23.0,5.0,25.0,4.0,5
1,Agadir,2026-04-26 00:31:23.892541,30.4278,-9.5981,17.06,17.01,84.0,1010.0,4.86,125.0,61.0,Clouds,broken clouds,3.0,6.07,19.76,0.27,104.38,1.01,114.71,0.0,6.0,26.0,4.0,0
1,Casablanca,2026-04-26 00:31:07.658254,33.5731,-7.5898,17.89,18.03,88.0,1013.0,3.09,50.0,12.0,Clouds,few clouds,3.0,9.41,16.85,1.66,101.59,2.8,119.75,0.0,6.0,26.0,4.0,1
1,Fes,2026-04-26 00:31:17.447490,34.0181,-5.0078,12.95,12.91,100.0,1013.0,1.03,140.0,0.0,Clear,clear sky,1.0,2.73,4.96,1.43,51.2,0.12,98.5,0.0,6.0,26.0,4.0,2
1,Marrakech,2026-04-26 00:31:14.207429,31.6295,-7.9811,18.98,18.71,68.0,1012.0,3.6,50.0,75.0,Clouds,broken clouds,2.0,5.49,13.73,1.86,73.88,0.51,107.87,0.0,6.0,26.0,4.0,3
1,Rabat,2026-04-26 00:31:10.859992,34.0209,-6.8416,15.37,15.57,100.0,1013.0,0.0,0.0,40.0,Clouds,scattered clouds,3.0,8.78,14.56,2.15,100.79,2.94,120.82,0.0,6.0,26.0,4.0,4
